feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
1961,0.0008436276109263906,XGBoost,paper_params,search,10,28,29
2615,0.0008419096700226972,XGBoost,paper_params,search,10,37,62
1237,0.0008388076673582115,XGBoost,paper_params,search,10,17,64
612,0.0008373656307671664,XGBoost,paper_params,search,10,8,60
1549,0.0008348473345261489,XGBoost,paper_params,search,10,22,31
1771,0.0008333997682073188,XGBoost,paper_params,search,10,25,46
2083,0.000829275639017494,XGBoost,paper_params,search,10,30,13
1063,0.0008245599453699801,XGBoost,paper_params,search,10,15,28
3165,0.0008227477662632955,XGBoost,paper_params,search,10,45,60
1778,0.0008211638776026462,XGBoost,paper_params,search,10,25,53
964,0.0008161622097171489,XGBoost,paper_params,search,10,13,67
3858,0.0008149683705921657,XGBoost,paper_params,search,10,55,63
2260,0.0008146096367780618,XGBoost,paper_params,search,10,32,52
3171,0.0008133556109317119,XGBoost,paper_params,search,10,45,66
4132,0.000802472175327965,XGBoost,paper_params,search,10,59,61
2204,0.0008021433020439008,XGBoost,paper_params,search,10,31,65
3859,0.000801519024880788,XGBoost,paper_params,search,10,55,64
3438,0.0007985747649773313,XGBoost,paper_params,search,10,49,57
3096,0.0007939786880729593,XGBoost,paper_params,search,10,44,60
1231,0.0007930059216440603,XGBoost,paper_params,search,10,17,58
1225,0.000787270022324017,XGBoost,paper_params,search,10,17,52
1922,0.0007858923051982623,XGBoost,paper_params,search,10,27,59
2335,0.0007825730133356508,XGBoost,paper_params,search,10,33,58
1702,0.0007824980418684164,XGBoost,paper_params,search,10,24,46
719,0.0007792979010876594,XGBoost,paper_params,search,10,10,29
926,0.000778456742180047,XGBoost,paper_params,search,10,13,29
4343,0.0007773052200245354,XGBoost,paper_params,search,10,62,65
750,0.0007754064279184372,XGBoost,paper_params,search,10,10,60
3612,0.0007724884196700447,XGBoost,paper_params,search,10,52,24
2747,0.000765770382487698,XGBoost,paper_params,search,10,39,56
1854,0.0007622207047032588,XGBoost,paper_params,search,10,26,60
727,0.000761692411972964,XGBoost,paper_params,search,10,10,37
1234,0.0007605224379889483,XGBoost,paper_params,search,10,17,61
1996,0.0007603309929922604,XGBoost,paper_params,search,10,28,64
1100,0.0007602160910696511,XGBoost,paper_params,search,10,15,65
1167,0.0007592826148118571,XGBoost,paper_params,search,10,16,63
880,0.0007521663790213189,XGBoost,paper_params,search,10,12,52
2730,0.0007473436996930776,XGBoost,paper_params,search,10,39,39
520,0.0007471815913574813,XGBoost,paper_params,search,10,7,37
788,0.0007468543478879224,XGBoost,paper_params,search,10,11,29
2943,0.0007453165596947029,XGBoost,paper_params,search,10,42,45
4527,0.0007442358180548413,XGBoost,paper_params,search,10,65,42
4050,0.0007431935516788321,XGBoost,paper_params,search,10,58,48
3294,0.0007426463996664069,XGBoost,paper_params,search,10,47,51
3971,0.0007420514009567249,XGBoost,paper_params,search,10,57,38
4542,0.0007388180818092571,XGBoost,paper_params,search,10,65,57
2755,0.0007374708654978123,XGBoost,paper_params,search,10,39,64
1611,0.0007372864636280927,XGBoost,paper_params,search,10,23,24
1236,0.0007358237633174296,XGBoost,paper_params,search,10,17,63
2159,0.0007320999282115887,XGBoost,paper_params,search,10,31,20
4390,0.0007306029435886576,XGBoost,paper_params,search,10,63,43
2866,0.0007294294189373272,XGBoost,paper_params,search,10,41,37
42,0.0007292959487708921,XGBoost,paper_params,search,10,0,42
590,0.0007292826774242077,XGBoost,paper_params,search,10,8,38
3491,0.0007269029736237841,XGBoost,paper_params,search,10,50,41
3972,0.0007244158184813461,XGBoost,paper_params,search,10,57,39
1093,0.0007209757457223747,XGBoost,paper_params,search,10,15,58
4481,0.0007188070446927002,XGBoost,paper_params,search,10,64,65
2754,0.0007179451056501478,XGBoost,paper_params,search,10,39,63
3493,0.0007176212382249208,XGBoost,paper_params,search,10,50,43
3897,0.0007167236760938998,XGBoost,paper_params,search,10,56,33
4275,0.0007144617845991305,XGBoost,paper_params,search,10,61,66
4042,0.0007144344852061701,XGBoost,paper_params,search,10,58,40
4688,0.000713882734788534,XGBoost,paper_params,search,10,67,65
1642,0.0007137410573419124,XGBoost,paper_params,search,10,23,55
1077,0.0007115752084876219,XGBoost,paper_params,search,10,15,42
4648,0.0007110813164849167,XGBoost,paper_params,search,10,67,25
3973,0.0007108649586093652,XGBoost,paper_params,search,10,57,40
897,0.000709372514183984,XGBoost,paper_params,search,10,13,0
3499,0.0007078718624784165,XGBoost,paper_params,search,10,50,49
728,0.0007077258776648886,XGBoost,paper_params,search,10,10,38
3760,0.0007065936222451337,XGBoost,paper_params,search,10,54,34
243,0.0007065015377255957,XGBoost,paper_params,search,10,3,36
2944,0.0007062196962315359,XGBoost,paper_params,search,10,42,46
3910,0.0007056595057030699,XGBoost,paper_params,search,10,56,46
11,0.0007050574056587586,XGBoost,paper_params,search,10,0,11
1847,0.000704544130504975,XGBoost,paper_params,search,10,26,53
3164,0.0006989727842422854,XGBoost,paper_params,search,10,45,59
4458,0.0006987808153766494,XGBoost,paper_params,search,10,64,42
1633,0.0006969624080502489,XGBoost,paper_params,search,10,23,46
979,0.0006960536700483359,XGBoost,paper_params,search,10,14,13
2555,0.0006959246236641288,XGBoost,paper_params,search,10,37,2
3719,0.0006949168744310311,XGBoost,paper_params,search,10,53,62
2951,0.0006928045766247652,XGBoost,paper_params,search,10,42,53
4528,0.0006913107352155226,XGBoost,paper_params,search,10,65,43
3981,0.0006889801004732346,XGBoost,paper_params,search,10,57,48
1763,0.0006889172361994666,XGBoost,paper_params,search,10,25,38
1337,0.0006862048174093599,XGBoost,paper_params,search,10,19,26
1694,0.0006860442806806078,XGBoost,paper_params,search,10,24,38
3363,0.0006838886763746351,XGBoost,paper_params,search,10,48,51
1452,0.0006819483822063177,XGBoost,paper_params,search,10,21,3
3233,0.0006811521014052563,XGBoost,paper_params,search,10,46,59
1166,0.0006755577049088519,XGBoost,paper_params,search,10,16,62
2936,0.0006744716663718487,XGBoost,paper_params,search,10,42,38
87,0.0006723778786017478,XGBoost,paper_params,search,10,1,18
681,0.0006708331054892209,XGBoost,paper_params,search,10,9,60
1162,0.0006689724976086706,XGBoost,paper_params,search,10,16,58
1693,0.0006670412256277922,XGBoost,paper_params,search,10,24,37
2202,0.00066605006557805,XGBoost,paper_params,search,10,31,63
2265,0.0006639435885378737,XGBoost,paper_params,search,10,32,57
3250,0.0006638262418935068,XGBoost,paper_params,search,10,47,7
3920,0.0006624578379934956,XGBoost,paper_params,search,10,56,56
4612,0.0006591603740037201,XGBoost,paper_params,search,10,66,58
3720,0.0006565656511039456,XGBoost,paper_params,search,10,53,63
1153,0.0006550693649729453,XGBoost,paper_params,search,10,16,49
743,0.0006541923501462208,XGBoost,paper_params,search,10,10,53
2685,0.0006538501473078114,XGBoost,paper_params,search,10,38,63
674,0.0006512337129505226,XGBoost,paper_params,search,10,9,53
1635,0.0006512103716785032,XGBoost,paper_params,search,10,23,48
1397,0.0006442787123806671,XGBoost,paper_params,search,10,20,17
2066,0.0006366843588635267,XGBoost,paper_params,search,10,29,65
2344,0.0006352887719858769,XGBoost,paper_params,search,10,33,67
2737,0.0006352824855585001,XGBoost,paper_params,search,10,39,46
1305,0.0006351399932046259,XGBoost,paper_params,search,10,18,63
163,0.000634714495203474,XGBoost,paper_params,search,10,2,25
3787,0.0006342300910494949,XGBoost,paper_params,search,10,54,61
2739,0.0006336606455029464,XGBoost,paper_params,search,10,39,48
1850,0.0006328754241574553,XGBoost,paper_params,search,10,26,56
3286,0.0006299065424134394,XGBoost,paper_params,search,10,47,43
1097,0.0006295937344437827,XGBoost,paper_params,search,10,15,62
2029,0.0006282665415676861,XGBoost,paper_params,search,10,29,28
173,0.0006227886186007352,XGBoost,paper_params,search,10,2,35
538,0.0006220328503316576,XGBoost,paper_params,search,10,7,55
1268,0.0006203549562986609,XGBoost,paper_params,search,10,18,26
694,0.0006180406779090848,XGBoost,paper_params,search,10,10,4
2201,0.0006178044130135067,XGBoost,paper_params,search,10,31,62
3064,0.0006162531206429594,XGBoost,paper_params,search,10,44,28
1704,0.000614344258611526,XGBoost,paper_params,search,10,24,48
3989,0.000614305026648082,XGBoost,paper_params,search,10,57,56
738,0.0006128810344319148,XGBoost,paper_params,search,10,10,48
1780,0.0006127998929526254,XGBoost,paper_params,search,10,25,55
1413,0.000612398143677119,XGBoost,paper_params,search,10,20,33
1155,0.0006122250923012744,XGBoost,paper_params,search,10,16,51
592,0.0006110077372812891,XGBoost,paper_params,search,10,8,40
2980,0.0006105506907279313,XGBoost,paper_params,search,10,43,13
3300,0.0006102741461310131,XGBoost,paper_params,search,10,47,57
1034,0.0006067433276287042,XGBoost,paper_params,search,10,14,68
2686,0.0006061837191768472,XGBoost,paper_params,search,10,38,64
531,0.0006055681149552079,XGBoost,paper_params,search,10,7,48
1627,0.0006046055930746267,XGBoost,paper_params,search,10,23,40
3449,0.000603831314769384,XGBoost,paper_params,search,10,49,68
34,0.0005997312835511703,XGBoost,paper_params,search,10,0,34
829,0.0005994773817343407,XGBoost,paper_params,search,10,12,1
2203,0.0005978784172895193,XGBoost,paper_params,search,10,31,64
2014,0.0005946028393802408,XGBoost,paper_params,search,10,29,13
1286,0.0005919264511322288,XGBoost,paper_params,search,10,18,44
3475,0.0005912154445543805,XGBoost,paper_params,search,10,50,25
3170,0.0005905074647748988,XGBoost,paper_params,search,10,45,65
1238,0.0005903958806889606,XGBoost,paper_params,search,10,17,65
4406,0.0005902888368005723,XGBoost,paper_params,search,10,63,59
2067,0.0005899842943187628,XGBoost,paper_params,search,10,29,66
3370,0.0005894234052983661,XGBoost,paper_params,search,10,48,58
2814,0.0005884926648006342,XGBoost,paper_params,search,10,40,54
4405,0.0005880223469005921,XGBoost,paper_params,search,10,63,58
1240,0.000587781017938516,XGBoost,paper_params,search,10,17,67
3026,0.0005869708837141613,XGBoost,paper_params,search,10,43,59
3072,0.0005866530698856675,XGBoost,paper_params,search,10,44,36
1098,0.0005849239531110819,XGBoost,paper_params,search,10,15,63
1217,0.0005828310966635554,XGBoost,paper_params,search,10,17,44
4268,0.0005822625242319203,XGBoost,paper_params,search,10,61,59
3140,0.0005818800416921708,XGBoost,paper_params,search,10,45,35
35,0.0005811276494674251,XGBoost,paper_params,search,10,0,35
1839,0.0005809325955957617,XGBoost,paper_params,search,10,26,45
2614,0.000580702849958204,XGBoost,paper_params,search,10,37,61
2815,0.0005798516793329173,XGBoost,paper_params,search,10,40,55
4055,0.0005794521419485251,XGBoost,paper_params,search,10,58,53
2250,0.0005793572634612642,XGBoost,paper_params,search,10,32,42
1096,0.0005780566132785362,XGBoost,paper_params,search,10,15,61
286,0.0005766134707419343,XGBoost,paper_params,search,10,4,10
3287,0.0005755479213015665,XGBoost,paper_params,search,10,47,44
3295,0.0005750607813875254,XGBoost,paper_params,search,10,47,52
1849,0.0005747799876313617,XGBoost,paper_params,search,10,26,55
2196,0.0005726370143878034,XGBoost,paper_params,search,10,31,57
3750,0.0005718063328591522,XGBoost,paper_params,search,10,54,24
2738,0.0005715952136730814,XGBoost,paper_params,search,10,39,47
3790,0.000571176700591237,XGBoost,paper_params,search,10,54,64
2387,0.0005711327538072602,XGBoost,paper_params,search,10,34,41
1841,0.0005709097020507056,XGBoost,paper_params,search,10,26,47
3377,0.0005703415952803577,XGBoost,paper_params,search,10,48,65
28,0.0005693877463412501,XGBoost,paper_params,search,10,0,28
2792,0.0005692176053484502,XGBoost,paper_params,search,10,40,32
113,0.0005687184164486034,XGBoost,paper_params,search,10,1,44
3132,0.0005678972809763394,XGBoost,paper_params,search,10,45,27
611,0.0005678310406582393,XGBoost,paper_params,search,10,8,59
2683,0.0005674412821608777,XGBoost,paper_params,search,10,38,61
1165,0.0005673570556755607,XGBoost,paper_params,search,10,16,61
1382,0.0005671359829794766,XGBoost,paper_params,search,10,20,2
3918,0.000566966249440303,XGBoost,paper_params,search,10,56,54
1388,0.0005667819057782444,XGBoost,paper_params,search,10,20,8
1603,0.0005655426064701013,XGBoost,paper_params,search,10,23,16
4604,0.0005634540573894811,XGBoost,paper_params,search,10,66,50
828,0.0005634070838071377,XGBoost,paper_params,search,10,12,0
2551,0.0005631216916457632,XGBoost,paper_params,search,10,36,67
1321,0.000562091765293864,XGBoost,paper_params,search,10,19,10
2952,0.0005619035799261863,XGBoost,paper_params,search,10,42,54
4337,0.0005615364642089132,XGBoost,paper_params,search,10,62,59
1770,0.0005609156795054542,XGBoost,paper_params,search,10,25,45
962,0.0005600650909567766,XGBoost,paper_params,search,10,13,65
2954,0.0005599983849773894,XGBoost,paper_params,search,10,42,56
978,0.0005597267880316473,XGBoost,paper_params,search,10,14,12
2552,0.0005594748652752881,XGBoost,paper_params,search,10,36,68
1283,0.0005588429047009369,XGBoost,paper_params,search,10,18,41
2395,0.0005575935936751196,XGBoost,paper_params,search,10,34,49
589,0.0005574903914923505,XGBoost,paper_params,search,10,8,37
3244,0.0005573107626508244,XGBoost,paper_params,search,10,47,1
605,0.0005562143631501818,XGBoost,paper_params,search,10,8,53
676,0.0005549017803969701,XGBoost,paper_params,search,10,9,55
2334,0.0005541298886058242,XGBoost,paper_params,search,10,33,57
1284,0.0005541236603861083,XGBoost,paper_params,search,10,18,42
4468,0.0005535758680894132,XGBoost,paper_params,search,10,64,52
1275,0.0005523610159988466,XGBoost,paper_params,search,10,18,33
1299,0.0005522998397472445,XGBoost,paper_params,search,10,18,57
1303,0.0005522604913684786,XGBoost,paper_params,search,10,18,61
2736,0.0005516850504328578,XGBoost,paper_params,search,10,39,45
4475,0.0005494605282563838,XGBoost,paper_params,search,10,64,59
1794,0.0005483592975198867,XGBoost,paper_params,search,10,26,0
2958,0.0005459612000986199,XGBoost,paper_params,search,10,42,60
506,0.0005456107317723633,XGBoost,paper_params,search,10,7,23
1216,0.0005447119472804635,XGBoost,paper_params,search,10,17,43
3649,0.000544546637523518,XGBoost,paper_params,search,10,52,61
1710,0.000544163805737803,XGBoost,paper_params,search,10,24,54
818,0.000543573347225671,XGBoost,paper_params,search,10,11,59
1932,0.0005434791090226798,XGBoost,paper_params,search,10,28,0
536,0.0005432061733007371,XGBoost,paper_params,search,10,7,53
606,0.0005428052971401442,XGBoost,paper_params,search,10,8,54
855,0.0005427048307174373,XGBoost,paper_params,search,10,12,27
2898,0.0005420066298249862,XGBoost,paper_params,search,10,42,0
1848,0.0005418350918483247,XGBoost,paper_params,search,10,26,54
3067,0.000540927867245595,XGBoost,paper_params,search,10,44,31
3650,0.0005402027162061488,XGBoost,paper_params,search,10,52,62
3919,0.0005381990921027763,XGBoost,paper_params,search,10,56,55
1215,0.0005379659704208866,XGBoost,paper_params,search,10,17,42
2013,0.0005378305794016419,XGBoost,paper_params,search,10,29,12
4106,0.000537800777079263,XGBoost,paper_params,search,10,59,35
3591,0.0005372986195887105,XGBoost,paper_params,search,10,52,3
3047,0.0005365708492045241,XGBoost,paper_params,search,10,44,11
2200,0.0005361014044193954,XGBoost,paper_params,search,10,31,61
3356,0.0005356689214989359,XGBoost,paper_params,search,10,48,44
2257,0.0005351958678388316,XGBoost,paper_params,search,10,32,49
1084,0.0005346915566648261,XGBoost,paper_params,search,10,15,49
1772,0.0005346746764431662,XGBoost,paper_params,search,10,25,47
2191,0.0005341304930214466,XGBoost,paper_params,search,10,31,52
2188,0.0005327636607282797,XGBoost,paper_params,search,10,31,49
3433,0.0005325193631754979,XGBoost,paper_params,search,10,49,52
2930,0.0005321150527629122,XGBoost,paper_params,search,10,42,32
2012,0.0005315165033859155,XGBoost,paper_params,search,10,29,11
3528,0.0005312737774399779,XGBoost,paper_params,search,10,51,9
3651,0.0005307919926307393,XGBoost,paper_params,search,10,52,63
659,0.0005301074705385987,XGBoost,paper_params,search,10,9,38
3439,0.0005298852918969576,XGBoost,paper_params,search,10,49,58
4465,0.000529263052001976,XGBoost,paper_params,search,10,64,49
3849,0.0005292139829438405,XGBoost,paper_params,search,10,55,54
2190,0.000529061071418666,XGBoost,paper_params,search,10,31,51
4152,0.0005287425008905804,XGBoost,paper_params,search,10,60,12
2494,0.000528175267235146,XGBoost,paper_params,search,10,36,10
3850,0.0005281005285985551,XGBoost,paper_params,search,10,55,55
2389,0.0005280963376469706,XGBoost,paper_params,search,10,34,43
608,0.0005280458133973126,XGBoost,paper_params,search,10,8,56
10,0.0005274938883566938,XGBoost,paper_params,search,10,0,10
909,0.0005273864952223402,XGBoost,paper_params,search,10,13,12
3759,0.0005259351454055518,XGBoost,paper_params,search,10,54,33
4564,0.0005252101689890884,XGBoost,paper_params,search,10,66,10
4084,0.0005236139403043291,XGBoost,paper_params,search,10,59,13
2167,0.0005229399537988108,XGBoost,paper_params,search,10,31,28
4131,0.0005225154453278941,XGBoost,paper_params,search,10,59,60
1251,0.0005218856384369961,XGBoost,paper_params,search,10,18,9
4595,0.0005209327208204628,XGBoost,paper_params,search,10,66,41
1294,0.0005207346401504327,XGBoost,paper_params,search,10,18,52
3179,0.0005198787547046135,XGBoost,paper_params,search,10,46,5
50,0.0005193920804518594,XGBoost,paper_params,search,10,0,50
2197,0.0005192845126945231,XGBoost,paper_params,search,10,31,58
4389,0.0005188431240019465,XGBoost,paper_params,search,10,63,42
4274,0.0005172690724359886,XGBoost,paper_params,search,10,61,65
1594,0.0005171631344931573,XGBoost,paper_params,search,10,23,7
2816,0.0005168565547432165,XGBoost,paper_params,search,10,40,56
