fold,model_name,custom_params,paper_params
5,DecisionTree,0.7431450752823087,0.8226911202981844
5,GaussianNB,0.6734546449936325,0.6734546449936325
5,LightGBM,0.9157667838351371,0.9157667838351371
5,LogisticRegression,0.8672265322362105,0.8778206233738567
5,RandomForest,0.9001230523483036,0.8982733054431646
5,XGBoost,0.9131896739019764,0.913869509881782
10,DecisionTree,0.7402418815525889,0.8221671902605484
10,GaussianNB,0.6753560755451958,0.6753560755451958
10,LightGBM,0.9147202612227382,0.9147202612227382
10,LogisticRegression,0.8702310556683441,0.879815906685472
10,RandomForest,0.9012323081121801,0.8989752249393769
10,XGBoost,0.9139236034130678,0.9147144610530071
15,DecisionTree,0.7393714871589971,0.8228134523568464
15,GaussianNB,0.676027423346918,0.676027423346918
15,LightGBM,0.917294597445815,0.917294597445815
15,LogisticRegression,0.8707190851278807,0.8802070192273246
15,RandomForest,0.901722258147996,0.8979273593117246
15,XGBoost,0.9145425473413339,0.9169566770083117
20,DecisionTree,0.7385125440636016,0.820052680395135
20,GaussianNB,0.6774370970993024,0.6774370970993024
20,LightGBM,0.9160873290894773,0.9160873290894773
20,LogisticRegression,0.8713090449761245,0.8809308568964225
20,RandomForest,0.9021065255850147,0.8996536971861797
20,XGBoost,0.9163850576889422,0.9187432434873373
