stage,fold,search_method,config_name,model_name,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_score_mean,cv_f1_score_std,cv_auc_mean,cv_auc_std,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,elapsed_seconds,saved_model_path,feature_subset,top_k_pixels,reduced_feature_ratio,fs_source_model,fs_source_config,fs_source_fold,branch_importance_path,explainability_policy
cv,5,none,paper_params,LightGBM,0.8321420874402332,0.012162503376080509,0.8493336521030779,0.010773019213939304,0.8065244667503135,0.01708243154340531,0.827332030647759,0.013191942747637932,0.9157667838351371,0.00858183205518355,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,26.120065927505493,outputs\models\cv_5\paper_params\LightGBM.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,LightGBM,0.8321420874402332,0.012162503376080509,0.8493336521030779,0.010773019213939304,0.8065244667503135,0.01708243154340531,0.827332030647759,0.013191942747637932,0.9157667838351371,0.00858183205518355,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,21.0448956489563,outputs\models\cv_5\custom_params\LightGBM.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,paper_params,XGBoost,0.831392324312717,0.005755438333132717,0.8523072755337754,0.005395591229964553,0.8007528230865747,0.009601569119050928,0.8256996726779446,0.006476242336579079,0.913869509881782,0.006352134288057843,0.8353353353353353,0.8538135593220338,0.8084252758274825,0.8304997424008244,0.9132011418872001,35.41076946258545,outputs\models\cv_5\paper_params\XGBoost.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,XGBoost,0.8307652097996636,0.010438083087351408,0.8464084202287973,0.010331981447461346,0.8072772898368884,0.017141311275220127,0.8262923570237216,0.01153078747729209,0.9131896739019764,0.007111848878863718,0.8338338338338338,0.8571428571428571,0.8004012036108324,0.8278008298755186,0.9114556456582535,38.524205446243286,outputs\models\cv_5\custom_params\XGBoost.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,RandomForest,0.8042292220316096,0.011043802302924692,0.8718139726767797,0.009216305410147617,0.7121706398996237,0.01717800862245907,0.7838903662695946,0.013476124854621192,0.9001230523483036,0.007379348452921546,0.8183183183183184,0.8847087378640777,0.7311935807422267,0.800658978583196,0.8982036018144343,13.425889730453491,outputs\models\cv_5\custom_params\RandomForest.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,paper_params,RandomForest,0.7999735894037866,0.009334771248922446,0.8628802062854882,0.004240174271612206,0.7121706398996237,0.02103418779392309,0.7801504656690209,0.01288004513526732,0.8982733054431646,0.009284600287098647,0.8123123123123123,0.8658823529411764,0.7382146439317954,0.7969680563075258,0.8966379658455887,7.131983995437622,outputs\models\cv_5\paper_params\RandomForest.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,paper_params,LogisticRegression,0.7964688954493054,0.010887833456067824,0.8165988369900378,0.013203325249989488,0.7636135508155584,0.014075085232000151,0.7891430819986303,0.011303163098104594,0.8778206233738567,0.009510368149723898,0.8008008008008008,0.8196371398078975,0.7703109327983951,0.7942088934850051,0.8797531455505376,29.795031785964966,outputs\models\cv_5\paper_params\LogisticRegression.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,LogisticRegression,0.7882070026481129,0.0108729847960956,0.8079571449443395,0.011007823314474053,0.7548306148055207,0.014142035436492218,0.7804560958146649,0.0116920957665907,0.8672265322362105,0.010400000548088869,0.7912912912912913,0.8104925053533191,0.7592778335005015,0.7840497151734852,0.8704334782569485,79.1303825378418,outputs\models\cv_5\custom_params\LogisticRegression.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,paper_params,DecisionTree,0.7656777452717588,0.007753266989892874,0.7580788041226395,0.007072052525081068,0.7789209535759097,0.0189023734858384,0.768220162742988,0.009692057413067112,0.8226911202981844,0.007036435020936421,0.7652652652652653,0.7629482071713147,0.7683049147442327,0.7656171914042978,0.8210826285048953,5.713079214096069,outputs\models\cv_5\paper_params\DecisionTree.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,DecisionTree,0.7431436289726592,0.013716469954712408,0.7419020675279671,0.014775022143906715,0.7440401505646174,0.013858671288817147,0.7429316033107034,0.013304812770639902,0.7431450752823087,0.013713623387387384,0.7587587587587588,0.7572427572427572,0.7602808425275828,0.7587587587587588,0.75876179988517,17.40807843208313,outputs\models\cv_5\custom_params\DecisionTree.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,paper_params,GaussianNB,0.6461397034332992,0.007745651724426337,0.8930762204797265,0.012939625202896387,0.33023839397741533,0.017229253594752202,0.4818825184767438,0.018393737787386948,0.6734546449936325,0.009068506594466874,0.6466466466466466,0.9030470914127424,0.32698094282848544,0.4801178203240059,0.6790511394322829,2.6528420448303223,outputs\models\cv_5\paper_params\GaussianNB.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,5,none,custom_params,GaussianNB,0.6461397034332992,0.007745651724426337,0.8930762204797265,0.012939625202896387,0.33023839397741533,0.017229253594752202,0.4818825184767438,0.018393737787386948,0.6734546449936325,0.009068506594466874,0.6466466466466466,0.9030470914127424,0.32698094282848544,0.4801178203240059,0.6790511394322829,2.624758243560791,outputs\models\cv_5\custom_params\GaussianNB.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
cv,10,none,paper_params,LightGBM,0.8313927810765964,0.009988364573330036,0.8471482166989066,0.01291418074975462,0.8080137529754033,0.019058744815812323,0.826940250791873,0.011268343097833327,0.9147202612227382,0.00908356160647328,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,41.15454411506653,outputs\models\cv_10\paper_params\LightGBM.joblib,no_fs,4761,1.0,No FS,all_pixels,0,,baseline_all_pixels
