stage,fold,search_method,config_name,model_name,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_score_mean,cv_f1_score_std,cv_auc_mean,cv_auc_std,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,elapsed_seconds,saved_model_path,feature_subset,top_k_pixels,reduced_feature_ratio,fs_source_model,fs_source_config,fs_source_fold,branch_importance_path,explainability_policy
cv,5,none,paper_params,XGBoost,0.8372751474722238,0.009477357929775061,0.8545495640691264,0.009892994926937453,0.8120451693851946,0.013958277525895511,0.8326989551358002,0.010201317265793644,0.9199001080048935,0.008584247932623738,0.8413413413413413,0.8571428571428571,0.8184553660982948,0.8373524884556183,0.914216174998522,5.70626425743103,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\XGBoost.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,XGBoost,0.8370259317572136,0.008465845831763606,0.8514396105138113,0.006369321995475537,0.8155583437892095,0.014349790168628168,0.8330673310386345,0.009519551633088857,0.9194524520008709,0.008509604405398599,0.8313313313313313,0.8495762711864406,0.8044132397191575,0.8263781555899021,0.913331402799808,7.161956310272217,outputs\models\feature_selection\fs_xgboost\cv_5\custom_params\XGBoost.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,LightGBM,0.8352729578221995,0.008097158616872107,0.8499864580793606,0.005329877347387462,0.8132998745294856,0.01601703728705944,0.831166467164039,0.00950435468032245,0.9191369958662087,0.0073073554112608125,0.8428428428428428,0.8553590010405827,0.8244734202607823,0.839632277834525,0.9196320229419528,3.756383180618286,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\LightGBM.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,LightGBM,0.8352729578221995,0.008097158616872107,0.8499864580793606,0.005329877347387462,0.8132998745294856,0.01601703728705944,0.831166467164039,0.00950435468032245,0.9191369958662087,0.0073073554112608125,0.8428428428428428,0.8553590010405827,0.8244734202607823,0.839632277834525,0.9196320229419528,3.77372670173645,outputs\models\feature_selection\fs_xgboost\cv_5\custom_params\LightGBM.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,RandomForest,0.8277631792401742,0.006072053940944148,0.8497247505141322,0.008606492635508257,0.795483061480552,0.009288208543699742,0.8216611231783384,0.006411426670690926,0.9115044365026778,0.007357642152946755,0.8288288288288288,0.8465608465608465,0.802407221664995,0.82389289392379,0.9087522307181284,7.607365846633911,outputs\models\feature_selection\fs_xgboost\cv_5\custom_params\RandomForest.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,RandomForest,0.8243829364037545,0.007178216006403303,0.8459062190469687,0.004901316693617141,0.7922208281053952,0.012637067314443338,0.8181488628887001,0.00836078168116295,0.9103422153456234,0.006679267740359315,0.8258258258258259,0.8500539374325782,0.7903711133400201,0.8191268191268192,0.9061785756871013,3.9421560764312744,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\RandomForest.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,LogisticRegression,0.8013517993296254,0.009545879377950432,0.8268830208203832,0.008051371887699056,0.7611041405269761,0.01695663328133113,0.7925514793679651,0.011261844073047112,0.8838786311652467,0.011168764172888528,0.8078078078078078,0.827807486631016,0.7763289869608826,0.8012422360248447,0.8846950441734793,3.1556553840637207,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\LogisticRegression.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,LogisticRegression,0.7990989049398787,0.012925797909075564,0.8224792298199002,0.011636036802495921,0.7616060225846926,0.020401984064419402,0.7907781183904966,0.014730906846282346,0.8796016957316528,0.011864900594560425,0.8013013013013013,0.8225806451612904,0.7673019057171514,0.7939802802283342,0.8817060572326371,2.921678304672241,outputs\models\feature_selection\fs_xgboost\cv_5\custom_params\LogisticRegression.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,DecisionTree,0.7656777452717588,0.007753266989892874,0.7580788041226395,0.007072052525081068,0.7789209535759097,0.0189023734858384,0.768220162742988,0.009692057413067112,0.822668972833519,0.006963446382722494,0.7652652652652653,0.7629482071713147,0.7683049147442327,0.7656171914042978,0.8206497614722289,0.8266909122467041,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\DecisionTree.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,GaussianNB,0.7482791184660225,0.008145997122567342,0.8562830867132426,0.010098841294759069,0.5954830614805522,0.01999041030529932,0.702197426796871,0.013635019278123882,0.8081118373441605,0.013468112356769507,0.7602602602602603,0.8627450980392157,0.6178535606820461,0.7200467562828755,0.811365164424342,0.4320988655090332,outputs\models\feature_selection\fs_xgboost\cv_5\paper_params\GaussianNB.joblib,fs_xgboost,500,0.10501995379122034,XGBoost,paper_params,10,outputs\results\fs_xgboost_feature_importance.csv,paper_randomized_search_cv10_only
