stage,fold,search_method,config_name,model_name,accuracy,precision,recall,f1_score,auc,elapsed_seconds,saved_model_path,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_score_mean,cv_auc_mean,search_scoring,search_best_score,search_best_params,cv_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_score_std,cv_auc_std
no_cv,0,none,paper_params,LightGBM,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,3.8073363304138184,outputs\models\no_cv\paper_params\LightGBM.joblib,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,,,,,,,,,,,,,
no_cv,0,none,custom_params,LightGBM,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,3.837689161300659,outputs\models\no_cv\custom_params\LightGBM.joblib,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,,,,,,,,,,,,,
no_cv,0,none,paper_params,XGBoost,0.8353353353353353,0.8538135593220338,0.8084252758274825,0.8304997424008244,0.9132011418872001,5.333263874053955,outputs\models\no_cv\paper_params\XGBoost.joblib,0.8353353353353353,0.8538135593220338,0.8084252758274825,0.8304997424008244,0.9132011418872001,,,,,,,,,,,,,
no_cv,0,none,custom_params,XGBoost,0.8338338338338338,0.8571428571428571,0.8004012036108324,0.8278008298755186,0.9114556456582535,7.119534730911255,outputs\models\no_cv\custom_params\XGBoost.joblib,0.8338338338338338,0.8571428571428571,0.8004012036108324,0.8278008298755186,0.9114556456582535,,,,,,,,,,,,,
no_cv,0,none,custom_params,RandomForest,0.8183183183183184,0.8847087378640777,0.7311935807422267,0.800658978583196,0.8982036018144343,2.892503499984741,outputs\models\no_cv\custom_params\RandomForest.joblib,0.8183183183183184,0.8847087378640777,0.7311935807422267,0.800658978583196,0.8982036018144343,,,,,,,,,,,,,
no_cv,0,none,paper_params,RandomForest,0.8123123123123123,0.8658823529411764,0.7382146439317954,0.7969680563075258,0.8966379658455887,1.392793893814087,outputs\models\no_cv\paper_params\RandomForest.joblib,0.8123123123123123,0.8658823529411764,0.7382146439317954,0.7969680563075258,0.8966379658455887,,,,,,,,,,,,,
no_cv,0,none,paper_params,LogisticRegression,0.8008008008008008,0.8196371398078975,0.7703109327983951,0.7942088934850051,0.8797531455505376,6.290771245956421,outputs\models\no_cv\paper_params\LogisticRegression.joblib,0.8008008008008008,0.8196371398078975,0.7703109327983951,0.7942088934850051,0.8797531455505376,,,,,,,,,,,,,
no_cv,0,none,custom_params,LogisticRegression,0.7912912912912913,0.8104925053533191,0.7592778335005015,0.7840497151734852,0.8704334782569485,15.874145030975342,outputs\models\no_cv\custom_params\LogisticRegression.joblib,0.7912912912912913,0.8104925053533191,0.7592778335005015,0.7840497151734852,0.8704334782569485,,,,,,,,,,,,,
no_cv,0,none,paper_params,DecisionTree,0.7652652652652653,0.7629482071713147,0.7683049147442327,0.7656171914042978,0.8210826285048953,1.1652154922485352,outputs\models\no_cv\paper_params\DecisionTree.joblib,0.7652652652652653,0.7629482071713147,0.7683049147442327,0.7656171914042978,0.8210826285048953,,,,,,,,,,,,,
no_cv,0,none,custom_params,DecisionTree,0.7587587587587588,0.7572427572427572,0.7602808425275828,0.7587587587587588,0.75876179988517,3.5653939247131348,outputs\models\no_cv\custom_params\DecisionTree.joblib,0.7587587587587588,0.7572427572427572,0.7602808425275828,0.7587587587587588,0.75876179988517,,,,,,,,,,,,,
