model_name,custom_params,paper_params
DecisionTree,0.75876179988517,0.8210826285048953
GaussianNB,0.6790511394322829,0.6790511394322829
LightGBM,0.9163875242109947,0.9163875242109947
LogisticRegression,0.8704334782569485,0.8797531455505376
RandomForest,0.8982036018144343,0.8966379658455887
XGBoost,0.9114556456582535,0.9132011418872001
