stage,fold,search_method,config_name,model_name,search_scoring,search_best_score,search_best_params,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,elapsed_seconds,saved_model_path,explainability_policy,explainability_source_note
search,10,randomized,paper_params,RandomForest,f1,0.7874514846262928,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_depth"": 20}",0.8228228228228228,0.8813760379596679,0.7452357071213641,0.8076086956521739,0.9004305624165202,274.6452136039734,outputs\models\randomized_search_cv_10\paper_params\RandomForest.joblib,paper_randomized_search_cv10_only,"Only RandomizedSearchCV, fold=10, config_name=paper_params are allowed for feature importance and SHAP."
search,10,randomized,paper_params,LightGBM,f1,0.8316773905920478,"{""num_leaves"": 31, ""n_estimators"": 400, ""max_depth"": 10, ""learning_rate"": 0.1}",0.8403403403403403,0.8614072494669509,0.8104312938816449,0.8351421188630491,0.9196590771314945,651.5920293331146,outputs\models\randomized_search_cv_10\paper_params\LightGBM.joblib,paper_randomized_search_cv10_only,"Only RandomizedSearchCV, fold=10, config_name=paper_params are allowed for feature importance and SHAP."
search,10,randomized,paper_params,XGBoost,f1,0.8283166342215236,"{""subsample"": 1.0, ""n_estimators"": 200, ""max_depth"": 10, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",0.8388388388388388,0.8594249201277955,0.8094282848545636,0.8336776859504132,0.9166520540642906,1472.102112531662,outputs\models\randomized_search_cv_10\paper_params\XGBoost.joblib,paper_randomized_search_cv10_only,"Only RandomizedSearchCV, fold=10, config_name=paper_params are allowed for feature importance and SHAP."
