fold,stage,search_method,config_name,model_name,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_score_mean,cv_f1_score_std,cv_auc_mean,cv_auc_std,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,elapsed_seconds,saved_model_path
5,cv,none,paper_params,LightGBM,0.8321420874402332,0.012162503376080509,0.8493336521030779,0.010773019213939304,0.8065244667503135,0.01708243154340531,0.827332030647759,0.013191942747637932,0.9157667838351371,0.00858183205518355,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,26.120065927505493,outputs\models\cv_5\paper_params\LightGBM.joblib
10,cv,none,paper_params,LightGBM,0.8313927810765964,0.009988364573330036,0.8471482166989066,0.01291418074975462,0.8080137529754033,0.019058744815812323,0.826940250791873,0.011268343097833327,0.9147202612227382,0.00908356160647328,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,41.15454411506653,outputs\models\cv_10\paper_params\LightGBM.joblib
15,cv,none,paper_params,LightGBM,0.8325118612666752,0.012469809351443819,0.8481199351151194,0.016964408414626948,0.8095209722419255,0.017482157298204865,0.8282107232179352,0.012893529127419054,0.917294597445815,0.008208706711864385,0.8358358358358359,0.8502617801047121,0.8144433299899699,0.8319672131147541,0.9163875242109947,57.15494155883789,outputs\models\cv_15\paper_params\LightGBM.joblib
20,cv,none,paper_params,XGBoost,0.8350093984962406,0.018618300651965142,0.8528993415630808,0.019189068696786767,0.8090075376884422,0.030231124559784207,0.8300822127513332,0.020674256121795135,0.9187432434873373,0.011871399709907028,0.8353353353353353,0.8538135593220338,0.8084252758274825,0.8304997424008244,0.9132011418872001,170.91443300247192,outputs\models\cv_20\paper_params\XGBoost.joblib
