stage,fold,search_method,config_name,model_name,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_score_mean,cv_f1_score_std,cv_auc_mean,cv_auc_std,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,elapsed_seconds,saved_model_path,feature_subset,top_k_pixels,reduced_feature_ratio,fs_source_model,fs_source_config,fs_source_fold,branch_importance_path,explainability_policy
cv,5,none,paper_params,LightGBM,0.8326438887682865,0.009513713004652686,0.8491485600374045,0.009368076307864773,0.808030112923463,0.011306278871838193,0.8280676902502065,0.009983148465882344,0.9158542638828191,0.00832397691987631,0.8398398398398398,0.8574445617740233,0.8144433299899699,0.8353909465020576,0.910972678274584,3.751729965209961,outputs\models\feature_selection\fs_lightgbm\cv_5\paper_params\LightGBM.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,LightGBM,0.8326438887682865,0.009513713004652686,0.8491485600374045,0.009368076307864773,0.808030112923463,0.011306278871838193,0.8280676902502065,0.009983148465882344,0.9158542638828191,0.00832397691987631,0.8398398398398398,0.8574445617740233,0.8144433299899699,0.8353909465020576,0.910972678274584,3.9500508308410645,outputs\models\feature_selection\fs_lightgbm\cv_5\custom_params\LightGBM.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,XGBoost,0.8352719390158173,0.009196412369888137,0.8554290802532627,0.010103881972816543,0.8060225846925972,0.011515978826181966,0.8299603209610666,0.009644607466762663,0.9156322088762948,0.007569654658811874,0.8238238238238238,0.838405036726128,0.8014042126379137,0.8194871794871795,0.9097762818926309,7.53646445274353,outputs\models\feature_selection\fs_lightgbm\cv_5\custom_params\XGBoost.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,XGBoost,0.8303902890510446,0.010878272602928807,0.8506523888629653,0.008462881891428029,0.8005018820577166,0.01867783595074368,0.8247316735434239,0.01233302558022821,0.9132255641865485,0.008977303730036721,0.8308308308308309,0.8516542155816436,0.8004012036108324,0.8252326783867632,0.909874478580597,5.696933746337891,outputs\models\feature_selection\fs_lightgbm\cv_5\paper_params\XGBoost.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,RandomForest,0.8218800426017807,0.008970182770566262,0.8403469194955304,0.009062589511148106,0.7937264742785445,0.012711593617981383,0.8163344276270973,0.009740523652722186,0.9064015630164303,0.006690807237914477,0.8308308308308309,0.8457502623294858,0.8084252758274825,0.8266666666666667,0.9043634399702605,8.019294500350952,outputs\models\feature_selection\fs_lightgbm\cv_5\custom_params\RandomForest.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,RandomForest,0.8195025403545289,0.00809143926259423,0.8378746083512276,0.007130895904713596,0.7912170639899625,0.011406091018683586,0.81386008614968,0.008924347487721647,0.9046395279896366,0.008153089499476716,0.8288288288288288,0.8495197438633938,0.79839518555667,0.8231644260599793,0.9053965092079435,4.038898706436157,outputs\models\feature_selection\fs_lightgbm\cv_5\paper_params\RandomForest.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,LogisticRegression,0.7975957736776481,0.012154043622221502,0.8165485532815919,0.009809759361057411,0.7663739021329988,0.020759967759042826,0.7905650974840717,0.014051688150222796,0.8780079981578861,0.010999697099420778,0.7997997997997998,0.819935691318328,0.7673019057171514,0.7927461139896373,0.87929923637045,2.9057395458221436,outputs\models\feature_selection\fs_lightgbm\cv_5\paper_params\LogisticRegression.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,LogisticRegression,0.796094053070408,0.009941225446841574,0.8121090563960477,0.007972748952750363,0.7691342534504392,0.016645544744569123,0.7899777092146893,0.011440012185036518,0.8775407250503996,0.01142667333510274,0.8073073073073073,0.8304535637149028,0.7713139418254764,0.7997919916796672,0.8797040472065547,3.4526238441467285,outputs\models\feature_selection\fs_lightgbm\cv_5\custom_params\LogisticRegression.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,paper_params,GaussianNB,0.7604209394492019,0.007127176396390187,0.899379030560022,0.018574461294472856,0.5856963613550816,0.017573040301140885,0.7090799555820754,0.011254069144855482,0.8444707172809396,0.010236076070032518,0.7707707707707707,0.9064856711915535,0.6028084252758275,0.7240963855421687,0.8465796991373722,0.430896520614624,outputs\models\feature_selection\fs_lightgbm\cv_5\paper_params\GaussianNB.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
cv,5,none,custom_params,GaussianNB,0.7604209394492019,0.007127176396390187,0.899379030560022,0.018574461294472856,0.5856963613550816,0.017573040301140885,0.7090799555820754,0.011254069144855482,0.8444707172809396,0.010236076070032518,0.7707707707707707,0.9064856711915535,0.6028084252758275,0.7240963855421687,0.8465796991373722,0.4179210662841797,outputs\models\feature_selection\fs_lightgbm\cv_5\custom_params\GaussianNB.joblib,fs_lightgbm,500,0.10501995379122034,LightGBM,paper_params,10,outputs\results\fs_lightgbm_feature_importance.csv,paper_randomized_search_cv10_only
