feature_index,importance,model_name,config_name,stage,fold,pixel_row,pixel_col
1711,0.002416666666666667,LightGBM,paper_params,search,10,24,55
3849,0.002416666666666667,LightGBM,paper_params,search,10,55,54
4473,0.002416666666666667,LightGBM,paper_params,search,10,64,57
4274,0.0023333333333333335,LightGBM,paper_params,search,10,61,65
1923,0.0023333333333333335,LightGBM,paper_params,search,10,27,60
4474,0.0023333333333333335,LightGBM,paper_params,search,10,64,58
285,0.0023333333333333335,LightGBM,paper_params,search,10,4,9
2899,0.0023333333333333335,LightGBM,paper_params,search,10,42,1
1291,0.0023333333333333335,LightGBM,paper_params,search,10,18,49
760,0.0023333333333333335,LightGBM,paper_params,search,10,11,1
3377,0.0023333333333333335,LightGBM,paper_params,search,10,48,65
3044,0.0023333333333333335,LightGBM,paper_params,search,10,44,8
1854,0.0023333333333333335,LightGBM,paper_params,search,10,26,60
3247,0.00225,LightGBM,paper_params,search,10,47,4
1299,0.00225,LightGBM,paper_params,search,10,18,57
3597,0.00225,LightGBM,paper_params,search,10,52,9
2197,0.00225,LightGBM,paper_params,search,10,31,58
2066,0.00225,LightGBM,paper_params,search,10,29,65
666,0.00225,LightGBM,paper_params,search,10,9,45
148,0.00225,LightGBM,paper_params,search,10,2,10
1465,0.00225,LightGBM,paper_params,search,10,21,16
625,0.00225,LightGBM,paper_params,search,10,9,4
3590,0.0021666666666666666,LightGBM,paper_params,search,10,52,2
2081,0.0021666666666666666,LightGBM,paper_params,search,10,30,11
3105,0.0021666666666666666,LightGBM,paper_params,search,10,45,0
239,0.0021666666666666666,LightGBM,paper_params,search,10,3,32
2813,0.0021666666666666666,LightGBM,paper_params,search,10,40,53
1798,0.0021666666666666666,LightGBM,paper_params,search,10,26,4
4481,0.0021666666666666666,LightGBM,paper_params,search,10,64,65
4475,0.0021666666666666666,LightGBM,paper_params,search,10,64,59
4151,0.0021666666666666666,LightGBM,paper_params,search,10,60,11
2736,0.0021666666666666666,LightGBM,paper_params,search,10,39,45
1383,0.0021666666666666666,LightGBM,paper_params,search,10,20,3
360,0.0021666666666666666,LightGBM,paper_params,search,10,5,15
3050,0.0020833333333333333,LightGBM,paper_params,search,10,44,14
1320,0.0020833333333333333,LightGBM,paper_params,search,10,19,9
3789,0.0020833333333333333,LightGBM,paper_params,search,10,54,63
2746,0.0020833333333333333,LightGBM,paper_params,search,10,39,55
1853,0.0020833333333333333,LightGBM,paper_params,search,10,26,59
2335,0.0020833333333333333,LightGBM,paper_params,search,10,33,58
4412,0.0020833333333333333,LightGBM,paper_params,search,10,63,65
2136,0.0020833333333333333,LightGBM,paper_params,search,10,30,66
1933,0.0020833333333333333,LightGBM,paper_params,search,10,28,1
4603,0.0020833333333333333,LightGBM,paper_params,search,10,66,49
3369,0.0020833333333333333,LightGBM,paper_params,search,10,48,57
2954,0.0020833333333333333,LightGBM,paper_params,search,10,42,56
3037,0.0020833333333333333,LightGBM,paper_params,search,10,44,1
1166,0.0020833333333333333,LightGBM,paper_params,search,10,16,62
1161,0.0020833333333333333,LightGBM,paper_params,search,10,16,57
839,0.0020833333333333333,LightGBM,paper_params,search,10,12,11
1642,0.0020833333333333333,LightGBM,paper_params,search,10,23,55
4466,0.0020833333333333333,LightGBM,paper_params,search,10,64,50
1864,0.002,LightGBM,paper_params,search,10,27,1
1794,0.002,LightGBM,paper_params,search,10,26,0
1732,0.002,LightGBM,paper_params,search,10,25,7
1729,0.002,LightGBM,paper_params,search,10,25,4
1863,0.002,LightGBM,paper_params,search,10,27,0
2980,0.002,LightGBM,paper_params,search,10,43,13
611,0.002,LightGBM,paper_params,search,10,8,59
1306,0.002,LightGBM,paper_params,search,10,18,64
1520,0.002,LightGBM,paper_params,search,10,22,2
531,0.0019166666666666666,LightGBM,paper_params,search,10,7,48
1808,0.0019166666666666666,LightGBM,paper_params,search,10,26,14
1943,0.0019166666666666666,LightGBM,paper_params,search,10,28,11
1781,0.0019166666666666666,LightGBM,paper_params,search,10,25,56
1784,0.0019166666666666666,LightGBM,paper_params,search,10,25,59
1944,0.0019166666666666666,LightGBM,paper_params,search,10,28,12
2398,0.0019166666666666666,LightGBM,paper_params,search,10,34,52
3856,0.0019166666666666666,LightGBM,paper_params,search,10,55,61
1592,0.0019166666666666666,LightGBM,paper_params,search,10,23,5
52,0.0019166666666666666,LightGBM,paper_params,search,10,0,52
738,0.0019166666666666666,LightGBM,paper_params,search,10,10,48
36,0.0019166666666666666,LightGBM,paper_params,search,10,0,36
3729,0.0019166666666666666,LightGBM,paper_params,search,10,54,3
2265,0.0019166666666666666,LightGBM,paper_params,search,10,32,57
361,0.0018333333333333333,LightGBM,paper_params,search,10,5,16
3666,0.0018333333333333333,LightGBM,paper_params,search,10,53,9
1085,0.0018333333333333333,LightGBM,paper_params,search,10,15,50
1231,0.0018333333333333333,LightGBM,paper_params,search,10,17,58
1850,0.0018333333333333333,LightGBM,paper_params,search,10,26,56
4153,0.0018333333333333333,LightGBM,paper_params,search,10,60,13
120,0.0018333333333333333,LightGBM,paper_params,search,10,1,51
2387,0.0018333333333333333,LightGBM,paper_params,search,10,34,41
3363,0.0018333333333333333,LightGBM,paper_params,search,10,48,51
3361,0.0018333333333333333,LightGBM,paper_params,search,10,48,49
3667,0.0018333333333333333,LightGBM,paper_params,search,10,53,10
536,0.0018333333333333333,LightGBM,paper_params,search,10,7,53
